Entity,Year,"Annual share of CO2 emissions (OWID based on GCP, 2017)"
Italy,1914,0.8912
Italy,1915,0.7868
Italy,1916,0.7206
Italy,1917,0.4703
Italy,1918,0.5518
Italy,1919,0.6248
Italy,1920,0.5149
Italy,1921,0.7204
Italy,1922,0.8089
Italy,1923,0.7439
Italy,1924,0.8917
Italy,1925,0.8522
Italy,1926,1.0122
Italy,1927,1.0471
Italy,1928,0.9938
Italy,1929,1.0683
Italy,1930,1.055
Italy,1931,1.0349
Italy,1932,0.9566
Italy,1933,0.9907
Italy,1934,1.1959
Italy,1935,1.3131
Italy,1936,0.8462
Italy,1937,1.1131
Italy,1938,1.1921
Italy,1939,1.1516
Italy,1940,1.1322
Italy,1941,0.9515
Italy,1942,0.8941
Italy,1943,0.1497
Italy,1944,0.0758
Italy,1945,0.1128
Italy,1946,0.5283
Italy,1947,0.7999
Italy,1948,0.7342
Italy,1949,0.8645
Italy,1950,0.8184
Italy,1951,0.8986
Italy,1952,0.9261
Italy,1953,1.0011
Italy,1954,1.1512
Italy,1955,1.1916
Italy,1956,1.2831
Italy,1957,1.3099
Italy,1958,1.2848
Italy,1959,1.0737
Italy,1960,1.1828
Italy,1961,1.3459
Italy,1962,1.5277
Italy,1963,1.6265
Italy,1964,1.653
Italy,1965,1.7049
Italy,1966,1.8425
Italy,1967,1.9567
Italy,1968,1.9749
Italy,1969,2.0027
Italy,1970,2.0298
Italy,1971,2.0487
Italy,1972,2.0697
Italy,1973,2.1177
Italy,1974,2.1524
Italy,1975,2.0462
Italy,1976,2.0815
Italy,1977,1.9636
Italy,1978,1.9837
Italy,1979,2.0061
Italy,1980,2.0211
Italy,1981,2.0156
Italy,1982,1.9817
Italy,1983,1.9173
Italy,1984,1.8941
Italy,1985,1.8514
Italy,1986,1.7987
Italy,1987,1.8201
Italy,1988,1.7817
Italy,1989,1.8418
Italy,1990,1.9348
Italy,1991,1.9385
Italy,1992,1.9758
Italy,1993,1.9258
Italy,1994,1.8796
Italy,1995,1.956
Italy,1996,1.8739
Italy,1997,1.8805
Italy,1998,1.9399
Italy,1999,1.9351
Italy,2000,1.9041
Italy,2001,1.9117
Italy,2002,1.8777
Italy,2003,1.8406
Italy,2004,1.7748
Italy,2005,1.7122
Italy,2006,1.6411
Italy,2007,1.5668
Italy,2008,1.493
Italy,2009,1.3463
Italy,2010,1.309
Italy,2011,1.2242
Italy,2012,1.1382
Italy,2013,1.0526
Italy,2014,0.9981
Italy,2015,1.0294
Italy,2016,1.032
