Entity,Year,"Estimated number of paralytic polio cases disregarding cases after polio ceased to be endemic (WHO, 2018 and Tebbens et al., 2011)","Reported number of paralytic polio cases (WHO, 2018)","Estimated number of paralytic polio cases (WHO, 2018 and Tebbens et al., 2011)","Estimated number of paralytic polio cases using reported number of cases after polio free certification (WHO, 2018 and Tebbens et al., 2011)"
Italy,1980,7.0,1.0,7.0,7.0
Italy,1981,7.0,1.0,7.0,7.0
Italy,1982,0.0,3.0,21.0,3.0
Italy,1983,0.0,1.0,7.0,1.0
Italy,1984,0.0,1.0,7.0,1.0
Italy,1985,0.0,0.0,0.0,0.0
Italy,1986,0.0,0.0,0.0,0.0
Italy,1987,0.0,0.0,0.0,0.0
Italy,1988,0.0,1.0,7.0,1.0
Italy,1989,0.0,0.0,0.0,0.0
Italy,1990,0.0,0.0,0.0,0.0
Italy,1991,0.0,0.0,0.0,0.0
Italy,1992,0.0,0.0,0.0,0.0
Italy,1993,0.0,0.0,0.0,0.0
Italy,1994,0.0,0.0,0.0,0.0
Italy,1995,0.0,0.0,0.0,0.0
Italy,1996,0.0,0.0,0.0,0.0
Italy,1997,0.0,0.0,0.0,0.0
Italy,1998,0.0,0.0,0.0,0.0
Italy,1999,0.0,0.0,0.0,0.0
Italy,2000,0.0,0.0,0.0,0.0
Italy,2001,0.0,0.0,0.0,0.0
Italy,2002,0.0,0.0,0.0,0.0
Italy,2003,0.0,0.0,0.0,0.0
Italy,2004,0.0,0.0,0.0,0.0
Italy,2005,0.0,0.0,0.0,0.0
Italy,2006,0.0,0.0,0.0,0.0
Italy,2007,0.0,0.0,0.0,0.0
Italy,2008,0.0,0.0,0.0,0.0
Italy,2009,0.0,0.0,0.0,0.0
Italy,2010,0.0,0.0,0.0,0.0
Italy,2011,0.0,0.0,0.0,0.0
Italy,2012,0.0,0.0,0.0,0.0
Italy,2013,0.0,0.0,0.0,0.0
Italy,2014,0.0,0.0,0.0,0.0
Italy,2015,0.0,0.0,0.0,0.0
Italy,2016,0.0,0.0,0.0,0.0
