Entity,Year,Direct conflict deaths,Direct conflict death rate
Italy,1989,0,0.0
Italy,1990,0,0.0
Italy,1991,0,0.0
Italy,1992,0,0.0
Italy,1993,0,0.0
Italy,1994,0,0.0
Italy,1995,0,0.0
Italy,1996,0,0.0
Italy,1997,0,0.0
Italy,1998,0,0.0
Italy,1999,0,0.0
Italy,2000,0,0.0
Italy,2001,0,0.0
Italy,2002,0,0.0
Italy,2003,0,0.0
Italy,2004,0,0.0
Italy,2005,0,0.0
Italy,2006,0,0.0
Italy,2007,0,0.0
Italy,2008,0,0.0
Italy,2009,0,0.0
Italy,2010,0,0.0
Italy,2011,0,0.0
Italy,2012,0,0.0
Italy,2013,0,0.0
Italy,2014,0,0.0
Italy,2015,0,0.0
Italy,2016,0,0.0
Italy,2017,0,0.0
Italy,2018,0,0.0
