Entity,Year,Polio cases per 1 million population (WHO (2017))
Italy,1980,0.017724438
Italy,1981,0.017675182
Italy,1982,0.052894127
Italy,1983,0.017593654
Italy,1984,0.017563058
Italy,1985,0.0
Italy,1986,0.0
Italy,1987,0.0
Italy,1988,0.017512174
Italy,1989,0.0
Italy,1990,0.0
Italy,1991,0.0
Italy,1992,0.0
Italy,1993,0.0
Italy,1994,0.0
Italy,1995,0.0
Italy,1996,0.0
Italy,1997,0.0
Italy,1998,0.0
Italy,1999,0.0
Italy,2000,0.0
Italy,2001,0.0
Italy,2002,0.0
Italy,2003,0.0
Italy,2004,0.0
Italy,2005,0.0
Italy,2006,0.0
Italy,2007,0.0
Italy,2008,0.0
Italy,2009,0.0
Italy,2010,0.0
Italy,2011,0.0
Italy,2012,0.0
Italy,2013,0.0
Italy,2014,0.0
Italy,2015,0.0
