denominazione,codice_fiscale,p_iva,url_sito_venditore,telefono,nome_offerta,cod_offerta,url_offerta,modalita_attivazione,modalita_pagamento,data_inizio,data_fine,tipo_cliente,tipo_offerta,p_fix_f,p_fix_v,p_vol_f1,p_vol_f2,p_vol_f3,p_vol_bf1,p_vol_bf23,p_vol_mono,alpha,regione,provincia,comune
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET VARIABILE LUCE BUSINESS,020237ESVOP10XXPLACETVARIABILELU,https://www.2genergia.it/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,07/07/2026,07/08/2026,non domestico,prezzo variabile,,180.000000,,,,,,,0.071500,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET FISSA LUCE BUSINESS,020237ESFFP06XXPLACETFISSALUCEBU,https://www.2genergia.it/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,07/07/2026,07/08/2026,non domestico,prezzo fisso,180.000000,,1.149500,1.149500,1.149500,,,1.149500,,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET FISSA LUCE DOMESTICO,020237ESFFP06XXPLACETFISSALUCEDO,https://www.2genergia.it/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,07/07/2026,07/08/2026,domestico,prezzo fisso,180.000000,,,,,1.173700,1.173700,1.173700,,,,
8Energy Srl,07504390480,07504390480,https://www.8energy.it/,,8E PLACET EE FISSO DOMESTICO,044848ESFMP01XX8EPLACETEEFISSO26,https://www.8energy.it/placet/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato;Altro,01/06/2026,31/12/2026,domestico,prezzo fisso,156.000000,,,,,0.450000,0.450000,0.450000,,,,
8Energy Srl,07504390480,07504390480,https://www.8energy.it/,,8E PLACET EE VARIABILE DOMESTICO,044848ESVMP01XX8EPLACETEEVARIA26,https://www.8energy.it/placet/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato;Altro,01/06/2026,31/12/2026,domestico,prezzo variabile,,156.000000,,,,,,,0.085000,,,
8Energy Srl,07504390480,07504390480,https://www.8energy.it/,,8E PLACET EE VARIABILE ALTRI USI,044848ESVMP01XX8EPLACETEEVARAU26,https://www.8energy.it/placet/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato;Altro,01/06/2026,31/12/2026,non domestico,prezzo variabile,,336.000000,,,,,,,0.091000,,,
8Energy Srl,07504390480,07504390480,https://www.8energy.it/,,8E PLACET EE FISSO ALTRI USI,044848ESFMP01XX8EPLACETEEFSSAU26,https://www.8energy.it/placet/,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato;Altro,01/06/2026,31/12/2026,non domestico,prezzo fisso,336.000000,,0.550000,0.550000,0.550000,,,0.550000,,,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET FISSO ENERGIA ALTRI USI,000657ESFFP01XX00000PLEVAU122508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,non domestico,prezzo fisso,340.000000,,0.780590,0.760590,0.740590,,,0.760590,,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET FISSO ENERGIA DOMESTICO,000657ESFFP01XX00000PLEVDO122508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,domestico,prezzo fisso,240.000000,,,,,0.780590,0.750590,0.760590,,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET VARIABILE ENERGIA DOMESTICO,000657ESVFP01XX00000PLEFDO242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,domestico,prezzo variabile,,240.000000,,,,,,,0.055000,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET VARIABILE ENERGIA ALTRI USI,000657ESVFP01XX00000PLEFAU242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,non domestico,prezzo variabile,,340.000000,,,,,,,0.065000,05,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Luce Domestico,000294ESFFP01XXPlacetFDX20260710,https://casa.a2aenergia.eu/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,08/07/2026,29/07/2026,domestico,prezzo fisso,144.000000,,,,,0.191000,0.188000,0.189000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Luce Business,000294ESVFP01XXPlacetVB260732583,https://business.a2aenergia.eu/professionisti/placetvariabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,02/07/2026,29/07/2026,non domestico,prezzo variabile,,192.000000,,,,,,,0.036360,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Luce Business,000294ESFFP01XXPlacetFBX20260710,https://business.a2aenergia.eu/professionisti/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,08/07/2026,29/07/2026,non domestico,prezzo fisso,192.000000,,0.190000,0.192990,0.184000,,,0.189000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER FISSA PLACET DOMESTICA 202606,042641ESFMP01XXTD000006FPD202606,https://www.abypower.it,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/07/2026,30/09/2026,domestico,prezzo fisso,180.000000,,,,,0.500000,0.500000,0.500000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER FISSA PLACET ALTRI USI 202606,042641ESFMP01XXAU000006FPB202606,https://www.abypower.it,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/07/2026,30/09/2026,non domestico,prezzo fisso,252.000000,,0.800000,0.800000,0.800000,,,0.800000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER VARIABILE PLACET ALTRI USI,042641ESVFP01XXAU000006VPB202606,https://www.abypower.it,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/07/2026,30/09/2026,non domestico,prezzo variabile,,252.000000,,,,,,,0.200000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER VARIABILE PLACET DOMESTICA 202606,042641ESVOP01XXTD000006VPD202606,https://www.abypower.it,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/07/2026,30/09/2026,domestico,prezzo variabile,,180.000000,,,,,,,0.100000,,,
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET LUCE INDEX 0226,000694ESVFP01XXPLCTINDEXDOM00001,https://www.aceapinerolese-energia.it/offerte-luce-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,domestico,prezzo variabile,,120.000000,,,,,,,0.070000,,,015213;015012;015046;015078;015086;015087;015116;015118;015146;015154;015182;108001;108027;108039;108027;108039;108001;090092;090092;090092;002071;002128;002133;002042;002049;006159;005005;005012;005053;005076;005107;003036;001025;001026;001028;001032;001033;001034;001035;001038;001039;001041;001043;001045;001046;001048;001049;001050;001051;001053;001055;001057;001058;001059;001062;001063;001065;001066;001068;001070;001071;001072;001074;001076;003073;003106;003119;001001;001002;001004;001006;001007;001008;001011;001013;001016;001017;001018;001020;001077;001078;001081;001082;001086;001087;001089;001090;001093;001097;001099;001103;001104;001106;001107;001109;001110;001111;001112;001115;001116;001118;001120;001122;001125;001126;001127;001128;001130;001136;001139;001140;001142;001145;001146;001154;001156;001161;001163;001164;001166;001168;001171;001173;001174;001175;001178;001181;001183;001184;001186;001189;001190;001191;001192;001193;001194;001195;001197;001198;001200;001201;001202;001204;001205;001214;001217;001218;001219;001220;001221;001222;001226;001227;001228;001229;001234;001236;001237;001239;001240;001241;001242;001243;001245;001248;001249;001250;001252;001253;001254;001255;001256;001257;001259;001260;001263;001264;001265;001268;001269;001270;001272;001273;001275;001276;001280;001281;001283;001284;001292;001293;001299;001300;001302;001303;001305;001306;001307;001308;001309;001310;001314;001315;001316;096049;096053;096004;103008;004003;004009;004012;004019;004025;004027;004028;004029;004034;004037;004043;004046;004203;004059;004078;004089;004096;004110;004117;004130;004143;004144;004154;004157;004166;004179;004181;004203;004215;004034;008026;008027;008031;008052;008055;008056;008059;009012;009033;011004;011015;011026;001022;001024
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET LUCE INDEX 0226,000694ESVFP01XXPLCTINDEXAU000001,https://www.aceapinerolese-energia.it/offerte-luce-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,non domestico,prezzo variabile,,240.000000,,,,,,,0.070000,,,001045;001046;001048;001049;001050;001051;001053;001055;001057;001058;001059;001062;001063;001065;001066;001068;001070;001071;001072;001074;001076;001077;001078;001081;001082;001086;001087;001089;001090;001093;001097;001099;001103;001104;001106;001107;001109;001110;001111;001112;001115;001116;001118;001120;001122;001125;001126;001127;001128;001130;001136;001139;001140;001142;001145;001146;001154;001156;001161;001163;001164;001166;001168;001171;001173;001174;001175;001178;001181;001183;001184;001186;001189;001190;001191;001192;001193;001194;001195;001197;001198;001200;001201;001202;001204;001205;001214;001217;001218;001219;001220;001221;001222;001226;001227;001228;001229;001234;001236;001237;001239;001240;001241;001242;001243;001245;001248;001249;001250;001252;001253;001254;001255;001256;001257;001259;001260;001263;001264;001265;001268;001269;001270;001272;001273;001275;001276;001280;001281;001283;001284;001292;001293;001299;001300;001302;001303;001305;001306;001307;001308;001309;001310;001314;001315;001316;096049;096053;096004;103008;004003;004009;004012;004019;004025;004027;004028;004029;004034;004037;004043;004046;004203;004059;004078;004089;004096;004110;004117;004130;004143;004144;004154;004157;004166;004179;004181;004203;004215;004034;008026;008027;008031;008052;008055;008056;008059;009012;009033;011004;011015;011026;015213;015012;015046;015078;015086;015087;015116;015118;015146;015154;015182;108001;108027;108039;108027;108039;108001;090092;090092;090092;002071;002128;002133;002042;002049;006159;005005;005012;005053;005076;005107;003036;003073;003106;003119;001001;001002;001004;001006;001007;001008;001011;001013;001016;001017;001018;001020;001022;001024;001025;001026;001028;001032;001033;001034;001035;001038;001039;001041;001043
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET LUCE FIX AU 0226,000694ESFFP01XXPLCTFIXAU00000001,https://www.aceapinerolese-energia.it/offerte-luce-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,non domestico,prezzo fisso,240.000000,,0.400000,0.400000,0.400000,,,0.400000,,,,001045;001046;001048;001049;001050;001051;001053;001055;001057;001058;001059;001062;001063;001065;001066;001068;001070;001071;001072;001074;001076;001077;001078;001081;001082;001086;001087;001089;001090;001093;001097;001099;001103;001104;001106;001107;001109;001110;001111;001112;001115;001116;001118;001120;001122;001125;001126;001127;001128;001130;001136;001139;001140;001142;001145;001146;001154;001156;001161;001163;001164;001166;001168;001171;001173;001174;001175;001178;001181;001183;001184;001186;001189;001190;001191;001192;001193;001194;001195;001197;001198;001200;001201;001202;001204;001205;001214;001217;001218;001219;001220;001221;001222;001226;001227;001228;001229;001234;001236;001237;001239;001240;001241;001242;001243;001245;001248;001249;001250;001252;001253;001254;001255;001256;001257;001259;001260;001263;001264;001265;001268;001269;001270;001272;001273;001275;001276;001280;001281;001283;001284;001292;001293;001299;001300;001302;001303;001305;001306;001307;001308;001309;001310;001314;001315;001316;096049;096053;096004;103008;004003;004009;004012;004019;004025;004027;004028;004029;004034;004037;004043;004046;004203;004059;004078;004089;004096;004110;004117;004130;004143;004144;004154;004157;004166;004179;004181;004203;004215;004034;008026;008027;008031;008052;008055;008056;008059;009012;009033;011004;011015;011026;015213;015012;015046;015078;015086;015087;015116;015118;015146;015154;015182;108001;108027;108039;108027;108039;108001;090092;090092;090092;002071;002128;002133;002042;002049;006159;005005;005012;005053;005076;005107;003036;003073;003106;003119;001001;001002;001004;001006;001007;001008;001011;001013;001016;001017;001018;001020;001022;001024;001025;001026;001028;001032;001033;001034;001035;001038;001039;001041;001043
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET LUCE FIX DOM 0226,000694ESFFP01XXPLCTFIXDOM0000001,https://www.aceapinerolese-energia.it/offerte-luce-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,domestico,prezzo fisso,120.000000,,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,,,,001055;001057;001058;001059;001062;001063;001065;015213;015012;015046;015078;015086;015087;015116;015118;015146;015154;015182;108001;108027;108039;108027;108039;108001;090092;090092;090092;002071;002128;002133;002042;002049;006159;005005;005012;005053;005076;005107;003036;003073;003106;003119;001001;001002;001004;001006;001007;001008;001011;001013;001016;001017;001018;001020;001022;001024;001025;001026;001028;001032;001033;001034;001035;001038;001039;001041;001043;001045;001046;001048;001049;001050;001051;001053;001066;001068;001070;001071;001072;001074;001076;001077;001078;001081;001082;001086;001087;001089;001090;001093;001097;001099;001103;001104;001106;001107;001109;001110;001111;001112;001115;001116;001118;001120;001122;001125;001126;001127;001128;001130;001136;001139;001140;001142;001145;001146;001154;001156;001161;001163;001164;001166;001168;001171;001173;001174;001175;001178;001181;001183;001184;001186;001189;001190;001191;001192;001193;001194;001195;001197;001198;001200;001201;001202;001204;001205;001214;001217;001218;001219;001220;001221;001222;001226;001227;001228;001229;001234;001236;001237;001239;001240;001241;001242;001243;001245;001248;001249;001250;001252;001253;001254;001255;001256;001257;001259;001260;001263;001264;001265;001268;001269;001270;001272;001273;001275;001276;001280;001281;001283;001284;001292;001293;001299;001300;001302;001303;001305;001306;001307;001308;001309;001310;001314;001315;001316;096049;096053;096004;103008;004003;004009;004012;004019;004025;004027;004028;004029;004034;004037;004043;004046;004203;004059;004078;004089;004096;004110;004117;004130;004143;004144;004154;004157;004166;004179;004181;004203;004215;004034;008026;008027;008031;008052;008055;008056;008059;009012;009033;011004;011015;011026
AECLANUM ENERGIA S.R.L.,02997570649,02997570649,www.aeclanumenergia.com,,AECLANUM ENERGIA PLACET VARIABILE LUCE ALTRI USI,029644ESVFP01XXAEPLACETVARAU02AE,www.aeclanumenergia.com,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,29/09/2025,31/08/2026,non domestico,prezzo variabile,,216.000000,,,,,,,0.044000,,,
AECLANUM ENERGIA S.R.L.,02997570649,02997570649,www.aeclanumenergia.com,,AECLANUM ENERGIA PLACET FISSA LUCE ALTRI USI,029644ESVFP01XXAEPLACETFIXAU02AE,www.aeclanumenergia.com,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,29/09/2025,31/08/2026,non domestico,prezzo fisso,216.000000,,0.319000,0.319000,0.319000,,,0.319000,,,,
AECLANUM ENERGIA S.R.L.,02997570649,02997570649,www.aeclanumenergia.com,,AECLANUM ENERGIA PLACET VARIABILE LUCE DOMESTICO,029644ESVFP01XXAEPLACETVARDOM2AE,www.aeclanumenergia.com,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,29/09/2025,31/08/2026,domestico,prezzo variabile,,144.000000,,,,,,,0.060000,,,
AECLANUM ENERGIA S.R.L.,02997570649,02997570649,www.aeclanumenergia.com,,AECLANUM ENERGIA PLACET FISSA LUCE DOMESTICO,029644ESVFP01XXAEPLACETFIXDOM2AE,www.aeclanumenergia.com,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,29/09/2025,31/08/2026,domestico,prezzo fisso,144.000000,,,,,0.238700,0.238700,0.238700,,,,
AGES TRADE SPA,03750550968,03750550968,https://www.agestrade.com,,AGES_TRADE_PLACET-FIX-ELE ATRI-USI,000029ESFFP01XXELETT0000PLACET02,https://www.agestrade.com/placet-luce/,Offerta attivabile solo da web;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato,28/04/2026,31/03/2027,non domestico,prezzo fisso,300.000000,,0.699800,0.717280,0.618820,,,0.800000,,,,
AGES TRADE SPA,03750550968,03750550968,https://www.agestrade.com,,AGES_TRADE_PLACET-FIX-ELE-DOM-CASA,000029ESFFP01XXELETT0000PLACET01,https://www.agestrade.com/placet-luce/,Offerta attivabile solo da web;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato,28/04/2026,31/03/2027,domestico,prezzo fisso,120.000000,,,,,0.689210,0.732130,0.800000,,,,
AGES TRADE SPA,03750550968,03750550968,https://www.agestrade.com,,AGES_TRADE_PLACET-VAR-ELE-ATRI-USI,000029ESVFP01XXELETT0000PLACET04,https://www.agestrade.com/placet-luce/,Offerta attivabile solo da web;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato,28/04/2026,31/03/2027,non domestico,prezzo variabile,,300.000000,,,,,,,0.100000,,,
AGES TRADE SPA,03750550968,03750550968,https://www.agestrade.com,,AGES_TRADE_PLACET-VAR-ELE-DOM_CASA,000029ESVFP01XXELETT0000PLACET03,https://www.agestrade.com/placet-luce/,Offerta attivabile solo da web;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato,28/04/2026,31/03/2027,domestico,prezzo variabile,,200.000000,,,,,,,0.100000,,,
AGESP ENERGIA SRL,02727450120,02727450120,https://agespenergia.it,800003858,AGESP ENERGIA SRL PLACET Fissa Energia Elettrica Altri,000446ESFFP24XXPLACETXIMPRESAFIX,https://agespenergia.it/offerte-energia-elettrica/offerta-placet-energia-elettrica/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,15/07/2026,06/08/2026,non domestico,prezzo fisso,300.000000,,0.990000,0.990000,0.990000,,,0.990000,,,,
