denominazione,codice_fiscale,p_iva,url_sito_venditore,telefono,nome_offerta,cod_offerta,url_offerta,modalita_attivazione,modalita_pagamento,data_inizio,data_fine,tipo_cliente,tipo_offerta,p_fix_f,p_fix_v,p_vol,alpha,regione,provincia,comune
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET VAR GN condominio,001686GSVMP00XXPL0425CO000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,condominio,prezzo variabile,,348.000000,,1.000000,,,
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET VAR GN ALTRI USI,001686GSVMP00XXPL0425AU000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,non domestico,prezzo variabile,,420.000000,,1.500000,,,
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET FISSA GN ALTRI USI,001686GSFMP00XXPL0425AU000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,non domestico,prezzo fisso,420.000000,,3.500000,,,,
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET FISSA GN DOMESTICI,001686GSFMP00XXPL0425DO000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,domestico,prezzo fisso,348.000000,,3.000000,,,,
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET VAR GN DOMESTICI,001686GSVMP00XXPL0425DO000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,domestico,prezzo variabile,,348.000000,,1.000000,,,
+energia spa,01244170526,01244170526,www.piuenergia.it,0742 20813,+ENERGIA PLACET FISSA GN condominio,001686GSFMP00XXPL0425CO000000000,https://www.piuenergia.it/offerta-placet,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,17/04/2025,30/04/2026,condominio,prezzo fisso,348.000000,,3.000000,,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET VARIABILE GAS BUSINESS,020237GSVMP06XXPLACETVARIABILEGA,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,non domestico,prezzo variabile,,180.000000,,0.900000,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET?VARIABILE GAS CONDOMINIO USO DOMESTICO,020237GSVMP04XXPLACETVARIABILEGA,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,condominio,prezzo variabile,,180.000000,,0.900000,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET VARIABILE GAS DOMESTICO,020237GSVMP05XXPLACETVARIABILEGA,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,domestico,prezzo variabile,,180.000000,,0.900000,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET FISSA GAS BUSINESS,020237GSFMP02XXPLACETFISSAGASBUS,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,non domestico,prezzo fisso,180.000000,,4.000000,,,,
