denominazione,codice_fiscale,p_iva,url_sito_venditore,telefono,nome_offerta,cod_offerta,url_offerta,modalita_attivazione,modalita_pagamento,data_inizio,data_fine,tipo_cliente,tipo_offerta,p_fix_f,p_fix_v,p_vol_f1,p_vol_f2,p_vol_f3,p_vol_bf1,p_vol_bf23,p_vol_mono,alpha,regione,provincia,comune
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Luce Domestico,000294ESVFP01XXPlacetVDX20260210,https://casa.a2aenergia.eu/placetvariabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,10/02/2026,09/03/2026,domestico,prezzo variabile,,144.000000,,,,,,,0.036360,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Luce Domestico,000294ESFFP01XXPlacetFDX20260210,https://casa.a2aenergia.eu/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,10/02/2026,09/03/2026,domestico,prezzo fisso,144.000000,,,,,0.191000,0.188000,0.189000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Luce Business,000294ESFFP01XXPlacetFBX20260210,https://business.a2aenergia.eu/professionisti/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,10/02/2026,09/03/2026,non domestico,prezzo fisso,192.000000,,0.190000,0.192990,0.184000,,,0.189000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Luce Business,000294ESVFP01XXPlacetVB260230089,https://business.a2aenergia.eu/professionisti/placetvariabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,10/02/2026,09/03/2026,non domestico,prezzo variabile,,192.000000,,,,,,,0.036360,,,
Abaco Energia S.r.l.,04913370260,04913370260,www.abacoenergia.it,04221833032,Trendy Casa PLACET,027132ESVFP01XXTrendyCasaPLACETY,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria,08/01/2026,31/12/2026,domestico,prezzo variabile,,192.000000,,,,,,,0.050000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER VARIABILE PLACET ELE ALTRI USI 202512,042641ESVFP01XXAU000002VPB202512,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,11/01/2026,31/03/2026,non domestico,prezzo variabile,,252.000000,,,,,,,0.200000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER VARIABILE PLACET ELE DOMESTICA 202512,042641ESVFP01XXTD000002VPD202512,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,11/01/2026,31/03/2026,domestico,prezzo variabile,,180.000000,,,,,,,0.100000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER FISSA PLACET ELE DOMESTICA 202512,042641ESFMP01XXTD000002FPD202512,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,11/01/2026,31/03/2026,domestico,prezzo fisso,180.000000,,,,,0.520000,0.490000,0.500000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,ABY POWER FISSA PLACET ELE ALTRI USI 202512,042641ESFMP01XXAU000002FPB202512,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,11/01/2026,31/03/2026,non domestico,prezzo fisso,252.000000,,0.800000,0.790000,0.830000,,,0.800000,,,,
Acea Energia Spa,07305361003,07305361003,www.aceaenergia.it,0657991,Acea Energia PLACET Variabile Luce Business,000774ESVFP01XXRT3E4026930000000,www.acea.it/it/energia/business/offerte-luce/acea-placet-variabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,10/10/2025,07/04/2026,non domestico,prezzo variabile,,180.000000,,,,,,,0.026500,,,
