name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info
Italy,IT,IT,2022-01-01 00:00:00,2021-12-31,2022-01-01,129.4495,725.0000,17.86,0.91,692.6,691.7,197.7337,1695.75,2900.2,-,-,-,C,-0.36,65.47,[]
Italy,IT,IT,2021-12-31 00:00:00,2021-12-30,2021-12-31,130.1616,725.0000,17.95,0.91,673,672.1,197.7337,1695.75,2900.2,-,-,-,C,-0.35,65.83,[]
Italy,IT,IT,2021-12-30 00:00:00,2021-12-29,2021-12-30,130.8545,725.0000,18.05,0.27,684.4,684.1,197.7337,1695.75,2900.2,-,-,-,C,-0.36,66.18,[]
Italy,IT,IT,2021-12-29 00:00:00,2021-12-28,2021-12-29,131.5573,725.0000,18.15,0.27,766.5,766.2,197.7337,1695.75,2900.2,-,-,-,C,-0.4,66.53,[]
Italy,IT,IT,2021-12-28 00:00:00,2021-12-27,2021-12-28,132.3472,725.0000,18.25,0.27,689,688.8,197.7337,1695.75,2900.2,-,-,-,C,-0.36,66.93,[]
Italy,IT,IT,2021-12-27 00:00:00,2021-12-26,2021-12-27,133.0596,725.0000,18.35,1.34,759.9,758.5,197.7337,1695.75,2900.2,-,-,-,C,-0.39,67.29,[]
Italy,IT,IT,2021-12-26 00:00:00,2021-12-25,2021-12-26,133.8369,725.0000,18.46,1.34,599,597.7,197.7337,1695.75,2900.2,-,-,-,C,-0.31,67.69,[]
Italy,IT,IT,2021-12-25 00:00:00,2021-12-24,2021-12-25,134.4537,725.0000,18.55,0,608.6,608.6,197.7337,1695.75,2900.2,-,-,-,C,-0.31,68,[]
Italy,IT,IT,2021-12-24 00:00:00,2021-12-23,2021-12-24,135.0625,725.0000,18.63,0,637.3,637.3,197.7337,1695.75,2900.2,-,-,-,C,-0.32,68.31,[]
Italy,IT,IT,2021-12-23 00:00:00,2021-12-22,2021-12-23,135.7,725.0000,18.72,0,952.2,952.2,197.7337,1695.75,2900.2,-,-,-,C,-0.52,68.63,[]
Italy,IT,IT,2021-12-22 00:00:00,2021-12-21,2021-12-22,136.7275,725.0000,18.86,0,941.7,941.7,197.7337,1695.75,2900.2,-,-,-,E,-0.48,69.15,[]
Italy,IT,IT,2021-12-21 00:00:00,2021-12-20,2021-12-21,137.6694,725.0000,18.99,0,939.1,939.1,197.7337,1695.75,2900.2,-,-,-,E,-0.48,69.62,[]
Italy,IT,IT,2021-12-20 00:00:00,2021-12-19,2021-12-20,138.6087,725.0000,19.12,0,919.8,919.8,197.7337,1695.75,2900.2,-,-,-,E,-0.47,70.1,[]
Italy,IT,IT,2021-12-19 00:00:00,2021-12-18,2021-12-19,139.5286,725.0000,19.25,0,907.5,907.5,197.7337,1695.75,2900.2,-,-,-,E,-0.46,70.56,[]
Italy,IT,IT,2021-12-18 00:00:00,2021-12-17,2021-12-18,140.4363,725.0000,19.37,0,936.3,936.3,197.7337,1695.75,2900.2,-,-,-,E,-0.47,71.02,[]
Italy,IT,IT,2021-12-17 00:00:00,2021-12-16,2021-12-17,141.3729,725.0000,19.5,0,923.5,923.5,197.7337,1695.75,2900.2,-,-,-,E,-0.47,71.5,[]
Italy,IT,IT,2021-12-16 00:00:00,2021-12-15,2021-12-16,142.2966,725.0000,19.63,0,931.1,931.1,197.7337,1695.75,2900.2,-,-,-,E,-0.47,71.96,[]
Italy,IT,IT,2021-12-15 00:00:00,2021-12-14,2021-12-15,143.228,725.0000,19.76,0,864.5,864.5,197.7337,1695.75,2900.2,-,-,-,E,-0.44,72.43,[]
Italy,IT,IT,2021-12-14 00:00:00,2021-12-13,2021-12-14,144.0927,725.0000,19.87,0,876.6,876.6,197.7337,1695.75,2900.2,-,-,-,E,-0.44,72.87,[]
Italy,IT,IT,2021-12-13 00:00:00,2021-12-12,2021-12-13,144.9695,725.0000,20,0,860.6,860.6,197.7337,1695.75,2900.2,-,-,-,E,-0.44,73.32,[]
Italy,IT,IT,2021-12-12 00:00:00,2021-12-11,2021-12-12,145.8302,725.0000,20.11,0,873.7,873.7,197.7337,1695.75,2900.2,-,-,-,E,-0.44,73.75,[]
Italy,IT,IT,2021-12-11 00:00:00,2021-12-10,2021-12-11,146.7042,725.0000,20.24,0,874.2,874.2,197.7337,1695.75,2900.2,-,-,-,E,-0.44,74.19,[]
Italy,IT,IT,2021-12-10 00:00:00,2021-12-09,2021-12-10,147.5786,725.0000,20.36,0,896.5,896.5,197.7337,1695.75,2900.2,-,-,-,E,-0.45,74.64,[]
Italy,IT,IT,2021-12-09 00:00:00,2021-12-08,2021-12-09,148.4754,725.0000,20.48,0,891,891,197.7337,1695.75,2900.2,-,-,-,E,-0.45,75.09,[]
